source_id,short_label,primitive,route_family,coordinate,coverage_class,severity,support_basis,control_role,mission_consequence,minimal_measurement_to_close,forbidden_inference,safe_claim
Liu2024_MatDes_numeric_anchor,cold-sintering pressure numeric anchor,pressure,cold_sintering,cycle_energy_numerator,SOURCE_VISIBLE_PARTIAL,P2,V279 numeric-anchor extraction,energy numerator,energy per accepted output cannot be computed,meter full-cycle energy under the same process boundary,do not infer pressure route closure,pressure exemplar for source-boundary coordinate audit; not route qualification
Liu2024_MatDes_numeric_anchor,cold-sintering pressure numeric anchor,pressure,cold_sintering,processed_mass_denominator,MISSING_ACTIVE,P0,V279 coordinate audit,accepted-output denominator,"specific energy, yield and throughput remain underdetermined","report accepted mass, rejected mass, geometry and quality gate",do not infer pressure route closure,pressure exemplar for source-boundary coordinate audit; not route qualification
Liu2024_MatDes_numeric_anchor,cold-sintering pressure numeric anchor,pressure,cold_sintering,cycle_time,PARTIAL_OR_CONTEXT_ONLY,P1,V279 coordinate audit,rate denominator,build-window throughput and unit-count sizing cannot be evaluated,report full cycle time or continuous rate with setup/reset latency,do not infer pressure throughput closure,pressure exemplar for source-boundary coordinate audit; not route qualification
Liu2024_MatDes_numeric_anchor,cold-sintering pressure numeric anchor,pressure,cold_sintering,delivered_power_or_loss_boundary,MISSING_ACTIVE,P0,V279 coordinate audit,mission energy boundary,route comparison is not comparable across primitives,"declare mission power, loss multiplier and process boundary",do not compare mission margins,pressure exemplar for source-boundary coordinate audit; not route qualification
Liu2024_MatDes_numeric_anchor,cold-sintering pressure numeric anchor,pressure,cold_sintering,parallel_unit_count,MISSING_ACTIVE,P0,V279 coordinate audit,installed capacity coordinate,throughput can flip with unreported parallelization,"report installed unit count, utilization and downtime",do not infer installed-capacity closure,pressure exemplar for source-boundary coordinate audit; not route qualification
Liu2024_MatDes_numeric_anchor,cold-sintering pressure numeric anchor,pressure,cold_sintering,press_force_or_scale_boundary,PARTIAL_OR_CONTEXT_ONLY,P1,V279 coordinate audit,scale admissibility coordinate,coupon feasibility may not scale to batch geometry,"report platen area, force cap, stack height and pressure uniformity",do not infer batch-scale admissibility,pressure exemplar for source-boundary coordinate audit; not route qualification
Liu2024_MatDes_numeric_anchor,cold-sintering pressure numeric anchor,pressure,cold_sintering,scale_sensitive_overhead_share,MISSING_ACTIVE,P0,V279 coordinate audit,scale-law coordinate,fixed overhead cannot be extrapolated across batch scale,measure energy at multiple batch masses,do not extrapolate fixed overhead across scale,pressure exemplar for source-boundary coordinate audit; not route qualification
Xue2025_Acta_cold_sinter_parameter_optimization,Acta cold-sintering parameter-optimization candidate,pressure,cold_sintering,cycle_energy_numerator,FULLTEXT_EXTRACTION_REQUIRED,P0,DOI metadata does not lock metered cycle energy,energy numerator,energy per accepted output cannot be computed,meter full-cycle energy under the same process boundary,do not infer pressure energy closure,recent Acta route-context source; coordinate status remains conservative until page extraction
Xue2025_Acta_cold_sinter_parameter_optimization,Acta cold-sintering parameter-optimization candidate,pressure,cold_sintering,processed_mass_denominator,FULLTEXT_EXTRACTION_REQUIRED,P0,DOI metadata does not lock accepted mass denominator,accepted-output denominator,"specific energy, yield and throughput remain underdetermined","report accepted mass, rejected mass, geometry and quality gate",do not infer pressure specific energy,recent Acta route-context source; coordinate status remains conservative until page extraction
Xue2025_Acta_cold_sinter_parameter_optimization,Acta cold-sintering parameter-optimization candidate,pressure,cold_sintering,cycle_time,FULLTEXT_EXTRACTION_REQUIRED,P0,parameter-optimization title is insufficient to lock cycle time,rate denominator,build-window throughput and unit-count sizing cannot be evaluated,report full cycle time or continuous rate with setup/reset latency,do not infer throughput,recent Acta route-context source; coordinate status remains conservative until page extraction
Xue2025_Acta_cold_sinter_parameter_optimization,Acta cold-sintering parameter-optimization candidate,pressure,cold_sintering,delivered_power_or_loss_boundary,MISSING_ACTIVE,P0,no mission boundary in metadata,mission energy boundary,route comparison is not comparable across primitives,"declare mission power, loss multiplier and process boundary",do not compare mission margins,recent Acta route-context source; coordinate status remains conservative until page extraction
Xue2025_Acta_cold_sinter_parameter_optimization,Acta cold-sintering parameter-optimization candidate,pressure,cold_sintering,parallel_unit_count,MISSING_ACTIVE,P0,no installed unit count in metadata,installed capacity coordinate,throughput can flip with unreported parallelization,"report installed unit count, utilization and downtime",do not infer throughput closure,recent Acta route-context source; coordinate status remains conservative until page extraction
Xue2025_Acta_cold_sinter_parameter_optimization,Acta cold-sintering parameter-optimization candidate,pressure,cold_sintering,press_force_or_scale_boundary,FULLTEXT_EXTRACTION_REQUIRED,P0,cold-sintering process implies pressure relevance but page lock is open,scale admissibility coordinate,coupon feasibility may not scale to batch geometry,"report platen area, force cap, stack height and pressure uniformity",do not infer scale admissibility,recent Acta route-context source; coordinate status remains conservative until page extraction
Xue2025_Acta_cold_sinter_parameter_optimization,Acta cold-sintering parameter-optimization candidate,pressure,cold_sintering,scale_sensitive_overhead_share,MISSING_ACTIVE,P0,no scale-sensitive overhead in metadata,scale-law coordinate,fixed overhead cannot be extrapolated across batch scale,measure energy at multiple batch masses,do not extrapolate batch scale,recent Acta route-context source; coordinate status remains conservative until page extraction
Lim2021_SciRep_microwave_context,microwave coupon heating exemplar,directed_energy,microwave_heating,input_or_cavity_power,SOURCE_VISIBLE_PARTIAL,P2,Nature page reports 250-1000 W input powers,energy-input coordinate,thermal dose cannot be converted to route demand without power boundary,report metered input/delivered power and channel count,do not infer bus-delivered energy,directed-energy exemplar for denominator/source-capacity gap
Lim2021_SciRep_microwave_context,microwave coupon heating exemplar,directed_energy,microwave_heating,process_time_or_dwell,SOURCE_VISIBLE_PARTIAL,P2,Nature page reports shortest fabrication-time context; page extraction still needed,residence-time coordinate,energy density and throughput remain underdetermined,report dwell/scan-speed distribution and batch/continuous mode,do not infer residence distribution,directed-energy exemplar for denominator/source-capacity gap
Lim2021_SciRep_microwave_context,microwave coupon heating exemplar,directed_energy,microwave_heating,processed_mass_denominator,SOURCE_VISIBLE_PARTIAL,P2,Nature page reports 50 g starting mass/yield context,accepted-output denominator,"specific energy, yield and throughput remain underdetermined","report accepted mass, rejected mass, geometry and quality gate",do not infer accepted-output route denominator,directed-energy exemplar for denominator/source-capacity gap
Lim2021_SciRep_microwave_context,microwave coupon heating exemplar,directed_energy,microwave_heating,active_source_capacity,MISSING_ACTIVE,P0,source page does not identify mission active source capacity,source-capacity coordinate,sample process does not imply bus/source feasibility,report active source capacity after simultaneous loads and duty limits,do not infer payload/source feasibility,directed-energy exemplar for denominator/source-capacity gap
Lim2021_SciRep_microwave_context,microwave coupon heating exemplar,directed_energy,microwave_heating,wall_to_cavity_efficiency,MISSING_ACTIVE,P0,source page does not lock wall-to-cavity efficiency,efficiency/loss coordinate,wall/bus energy cannot be inferred from nominal beam power,measure wall-to-process efficiency and losses,do not infer bus energy,directed-energy exemplar for denominator/source-capacity gap
Kato2024_SciRep_vacuum_microwave_context,vacuum microwave processing context,directed_energy,microwave_vacuum,input_or_cavity_power,PARTIAL_OR_CONTEXT_ONLY,P1,V279 context source; final page extraction open,energy-input coordinate,thermal dose cannot be converted to route demand without power boundary,report metered input/delivered power and channel count,do not infer bus-delivered energy,directed-energy context source; not closure-complete
Kato2024_SciRep_vacuum_microwave_context,vacuum microwave processing context,directed_energy,microwave_vacuum,process_time_or_dwell,PARTIAL_OR_CONTEXT_ONLY,P1,V279 context source; final page extraction open,residence-time coordinate,energy density and throughput remain underdetermined,report dwell/scan-speed distribution and batch/continuous mode,do not infer residence distribution,directed-energy context source; not closure-complete
Kato2024_SciRep_vacuum_microwave_context,vacuum microwave processing context,directed_energy,microwave_vacuum,processed_mass_denominator,MISSING_ACTIVE,P0,V279 coordinate audit,accepted-output denominator,"specific energy, yield and throughput remain underdetermined","report accepted mass, rejected mass, geometry and quality gate",do not infer accepted-output route denominator,directed-energy context source; not closure-complete
Kato2024_SciRep_vacuum_microwave_context,vacuum microwave processing context,directed_energy,microwave_vacuum,active_source_capacity,MISSING_ACTIVE,P0,V279 coordinate audit,source-capacity coordinate,sample process does not imply bus/source feasibility,report active source capacity after simultaneous loads and duty limits,do not infer payload/source feasibility,directed-energy context source; not closure-complete
Kato2024_SciRep_vacuum_microwave_context,vacuum microwave processing context,directed_energy,microwave_vacuum,wall_to_cavity_efficiency,MISSING_ACTIVE,P0,V279 coordinate audit,efficiency/loss coordinate,wall/bus energy cannot be inferred from nominal beam power,measure wall-to-process efficiency and losses,do not infer bus energy,directed-energy context source; not closure-complete
Gines2023_SciRep_laser_paving,large-spot CO2 laser paving exemplar,directed_energy,laser_melting,input_or_cavity_power,SOURCE_VISIBLE_PARTIAL,P2,"Nature page reports high-power CO2 laser, up to 12 kW, spot diameter, speed/time and paving sample geometry",energy-input coordinate,thermal dose cannot be converted to route demand without power boundary,report metered input/delivered power and channel count,do not infer bus-delivered energy,large-element directed-energy exemplar; not mission bus/source-capacity closure
Gines2023_SciRep_laser_paving,large-spot CO2 laser paving exemplar,directed_energy,laser_melting,process_time_or_dwell,PARTIAL_OR_CONTEXT_ONLY,P1,"Nature page reports high-power CO2 laser, up to 12 kW, spot diameter, speed/time and paving sample geometry",residence-time coordinate,energy density and throughput remain underdetermined,report dwell/scan-speed distribution and batch/continuous mode,do not infer complete residence distribution,large-element directed-energy exemplar; not mission bus/source-capacity closure
Gines2023_SciRep_laser_paving,large-spot CO2 laser paving exemplar,directed_energy,laser_melting,processed_mass_denominator,MISSING_ACTIVE,P0,source page does not lock accepted mass denominator,accepted-output denominator,"specific energy, yield and throughput remain underdetermined","report accepted mass, rejected mass, geometry and quality gate",do not compute route MJ/kg,large-element directed-energy exemplar; not mission bus/source-capacity closure
Gines2023_SciRep_laser_paving,large-spot CO2 laser paving exemplar,directed_energy,laser_melting,active_source_capacity,MISSING_ACTIVE,P0,source page does not lock active mission source capacity,source-capacity coordinate,sample process does not imply bus/source feasibility,report active source capacity after simultaneous loads and duty limits,do not infer payload/source feasibility,large-element directed-energy exemplar; not mission bus/source-capacity closure
Gines2023_SciRep_laser_paving,large-spot CO2 laser paving exemplar,directed_energy,laser_melting,wall_to_cavity_efficiency,MISSING_ACTIVE,P0,source page does not lock wall-to-process efficiency,efficiency/loss coordinate,wall/bus energy cannot be inferred from nominal beam power,measure wall-to-process efficiency and losses,do not infer bus energy,large-element directed-energy exemplar; not mission bus/source-capacity closure
Linke2022_MOONRISE_laser_melting,MOONRISE mobile laser-melting payload exemplar,directed_energy,laser_melting,input_or_cavity_power,PARTIAL_OR_CONTEXT_ONLY,P1,SAGE page reports mobile payload experiments and approximately 20 x 20 x 4 mm specimens,energy-input coordinate,thermal dose cannot be converted to route demand without power boundary,report metered input/delivered power and channel count,do not infer bus-delivered energy,mobile-payload directed-energy source-capacity context; not route closure
Linke2022_MOONRISE_laser_melting,MOONRISE mobile laser-melting payload exemplar,directed_energy,laser_melting,process_time_or_dwell,PARTIAL_OR_CONTEXT_ONLY,P1,SAGE page reports mobile payload experiments and approximately 20 x 20 x 4 mm specimens,residence-time coordinate,energy density and throughput remain underdetermined,report dwell/scan-speed distribution and batch/continuous mode,do not infer complete residence distribution,mobile-payload directed-energy source-capacity context; not route closure
Linke2022_MOONRISE_laser_melting,MOONRISE mobile laser-melting payload exemplar,directed_energy,laser_melting,processed_mass_denominator,MISSING_ACTIVE,P0,source page does not lock accepted mass denominator,accepted-output denominator,"specific energy, yield and throughput remain underdetermined","report accepted mass, rejected mass, geometry and quality gate",do not compute route MJ/kg,mobile-payload directed-energy source-capacity context; not route closure
